id,Actual,Support Vector Classifier (RBF),Naive Bayes,Logistic Regression,Random Forest
7664313,1,1,1,1,1
7674966,1,0,1,0,1
7732697,1,1,1,1,1
8135260,1,1,1,1,1
8180725,1,1,1,1,1
8190460,0,0,1,0,1
8239200,1,1,1,1,1
8422798,1,1,1,1,1
8428228,0,0,1,1,0
8484022,1,1,1,1,1
8527276,1,1,1,1,1
8630844,1,1,1,1,1
8630975,0,1,1,1,1
8799124,0,1,1,1,1
8805684,1,1,1,1,1
8818793,1,1,1,1,1
9263034,1,1,1,1,1
9384451,0,1,1,1,1
9484014,1,1,1,1,1
9495955,1,1,1,1,1
9576009,1,1,1,1,1
9633048,1,1,1,1,1
9646587,1,1,1,1,1
9710829,1,1,1,1,1
9792889,1,1,1,1,1
9922641,1,1,1,1,1
9972140,1,1,1,1,1
9977773,1,1,1,1,1
10042836,0,0,1,1,1
10109182,0,1,1,1,1
10134131,0,1,1,1,1
10140973,1,1,1,1,1
10140981,1,1,1,1,1
10142485,0,1,1,1,1
10171662,1,1,1,1,1
10229111,1,1,1,1,1
10276149,1,1,1,1,1
10296552,0,1,1,1,1
10303978,0,1,1,1,1
10311334,1,1,1,1,1
10418024,1,1,1,1,1
10446126,1,1,1,1,1
10484542,1,1,1,1,1
10511908,1,1,1,1,1
10546409,1,0,1,1,1
10565989,0,1,1,1,1
10586369,1,1,1,1,1
10621390,1,1,1,1,1
10628930,1,1,1,1,1
10629176,0,1,1,1,1
10643131,1,1,1,1,1
10671838,1,1,1,1,1
10678402,1,1,1,1,1
10685057,0,0,1,1,1
10692485,1,1,1,1,1
10699079,1,1,1,1,1
10719596,0,1,1,1,1
10803646,1,1,1,1,1
10849585,0,1,1,1,1
10860661,1,0,1,1,1
10891723,0,1,1,1,1
10902191,1,1,1,1,1
10930066,1,1,1,1,1
10937237,1,1,1,1,1
10943072,1,1,1,1,1
10951554,1,1,1,1,1
10963748,1,1,1,1,1
10979377,1,1,1,1,1
11037554,1,1,1,1,1
11043026,1,1,1,1,1
11049605,1,1,1,1,1
11050885,1,1,1,1,1
11055514,1,1,1,1,1
11080607,1,1,1,1,1
11095579,1,1,1,1,1
11132598,0,1,1,1,1
11144846,1,1,1,1,1
11171904,0,0,1,1,1
11232793,0,1,1,1,1
11238197,1,0,1,0,1
11252113,1,0,1,1,1
11263534,0,0,1,0,0
11276434,1,1,1,1,1
11301269,0,0,1,0,1
11302329,0,0,1,0,1
11348577,0,1,1,1,1
11354164,0,0,1,0,1
11354582,0,0,1,0,0
11354803,0,1,1,1,1
11379747,0,1,1,1,1
11430434,0,1,1,1,1
11445989,0,1,1,1,1
11544460,1,1,1,1,1
11551668,1,1,1,1,1
11580673,1,1,1,1,1
11581020,1,1,1,1,1
11600263,1,0,1,1,1
11605388,1,1,1,1,1
11631208,1,1,1,1,1
11631237,1,1,1,1,1
11640493,1,1,1,1,1
11644961,1,1,1,1,1
11645479,1,1,1,1,1
11646007,1,1,1,1,1
11657598,1,1,1,1,1
11676044,1,1,1,1,1
11676163,0,0,1,0,1
11694039,1,1,1,1,1
11699027,1,1,1,1,1
11709989,1,1,1,1,1
11710420,1,1,1,1,1
