id,Actual,Random Forest
7660715,1,0.783
7713127,1,0.661
7835910,0,0.687
7890374,0,0.557
8044288,0,0.576
8069131,1,0.43
8239200,1,0.644
8265930,1,0.69
8374848,1,0.982
8380504,0,0.728
8407113,0,0.414
8438029,1,0.935
8497859,1,0.665
8566102,1,0.591
8606577,1,0.794
8630975,0,0.74
8700396,1,0.83
8768687,1,0.826
9123339,1,0.92
9436953,1,0.679
9460707,1,0.814
9507858,1,0.533
9576009,1,0.951
9582501,1,0.712
9679554,1,0.709
9697822,1,0.638
9798653,1,0.767
9805018,1,0.569
10008193,1,0.66
10027662,0,0.448
10074364,1,0.768
10090020,1,0.721
10134131,0,0.673
10140973,1,0.858
10169826,1,0.4
10171908,0,0.74
10249314,1,0.875
10262107,0,0.425
10297070,1,0.743
10332517,0,0.617
10379995,0,0.526
10395392,1,0.679
10440431,1,0.6
10475438,1,0.878
10503804,0,0.571
10504268,1,0.828
10511908,1,0.75
10559299,1,0.768
10580405,0,0.161
10607298,0,0.461
10607598,1,0.733
10621390,1,0.872
10635088,1,0.677
10657934,0,0.633
10658074,1,0.754
10664718,1,0.793
10682575,1,0.662
10685057,0,0.639
10692485,1,0.748
10713662,0,0.457
10733733,0,0.558
10789723,1,0.614
10818293,1,0.751
10885436,1,0.855
10891723,0,0.571
10916050,1,0.647
10916351,0,0.605
10929781,0,0.565
10930066,1,0.786
10937237,1,0.82
10943583,0,0.697
10945040,1,0.841
10951554,1,0.581
10957017,0,0.669
10963497,0,0.67
10963812,1,0.551
10965948,0,0.72
10978054,0,0.56
10991369,0,0.673
11011176,0,0.474
11024276,1,0.704
11037328,1,0.705
11043026,1,0.764
11049481,1,0.638
11049605,1,0.498
11069353,0,0.789
11070671,0,0.381
11074507,1,0.791
11087528,1,0.669
11106903,0,0.581
11120839,0,0.67
11122165,1,0.537
11132598,0,0.668
11157339,0,0.443
11196867,0,0.591
11232268,1,0.937
11238197,1,0.618
11275903,1,0.704
11301269,0,0.596
11343650,0,0.526
11348577,0,0.808
11354803,0,0.569
11379446,0,0.465
11438457,0,0.519
