id,Actual,Support Vector Classifier (RBF),Logistic Regression,Random Forest
7660715,1,1,1,1
7713127,1,1,1,1
7835910,0,1,1,1
7890374,0,1,1,1
8044288,0,1,1,1
8069131,1,0,0,0
8239200,1,1,1,1
8265930,1,1,1,1
8374848,1,1,1,1
8380504,0,1,1,1
8407113,0,0,1,0
8438029,1,1,1,1
8497859,1,1,1,1
8566102,1,1,1,1
8606577,1,1,1,1
8630975,0,1,1,1
8700396,1,1,1,1
8768687,1,1,1,1
9123339,1,1,1,1
9436953,1,1,1,1
9460707,1,1,1,1
9507858,1,0,0,1
9576009,1,1,1,1
9582501,1,1,1,1
9679554,1,1,1,1
9697822,1,1,1,1
9798653,1,1,1,1
9805018,1,1,1,1
10008193,1,1,1,1
10027662,0,0,0,0
10074364,1,1,1,1
10090020,1,1,1,1
10134131,0,1,1,1
10140973,1,1,1,1
10169826,1,0,0,0
10171908,0,1,1,1
10249314,1,1,1,1
10262107,0,0,0,0
10297070,1,1,1,1
10332517,0,0,0,1
10379995,0,0,0,1
10395392,1,1,1,1
10440431,1,1,1,1
10475438,1,1,1,1
10503804,0,0,1,1
10504268,1,1,1,1
10511908,1,1,1,1
10559299,1,1,1,1
10580405,0,0,0,0
10607298,0,0,0,0
10607598,1,1,1,1
10621390,1,1,1,1
10635088,1,1,1,1
10657934,0,1,1,1
10658074,1,1,1,1
10664718,1,1,1,1
10682575,1,1,1,1
10685057,0,1,1,1
10692485,1,1,1,1
10713662,0,0,0,0
10733733,0,1,1,1
10789723,1,1,1,1
10818293,1,1,1,1
10885436,1,1,1,1
10891723,0,0,1,1
10916050,1,1,1,1
10916351,0,1,1,1
10929781,0,1,1,1
10930066,1,1,1,1
10937237,1,1,1,1
10943583,0,1,1,1
10945040,1,1,1,1
10951554,1,1,1,1
10957017,0,1,1,1
10963497,0,1,1,1
10963812,1,0,0,1
10965948,0,1,1,1
10978054,0,0,1,1
10991369,0,1,1,1
11011176,0,0,1,0
11024276,1,1,1,1
11037328,1,1,1,1
11043026,1,1,1,1
11049481,1,1,1,1
11049605,1,0,0,0
11069353,0,1,1,1
11070671,0,0,0,0
11074507,1,1,1,1
11087528,1,1,1,1
11106903,0,0,0,1
11120839,0,1,1,1
11122165,1,1,1,1
11132598,0,1,1,1
11157339,0,0,0,0
11196867,0,1,1,1
11232268,1,1,1,1
11238197,1,1,1,1
11275903,1,1,1,1
11301269,0,1,1,1
11343650,0,0,0,1
11348577,0,1,1,1
11354803,0,1,0,1
11379446,0,0,0,0
11438457,0,1,1,1
11445065,0,0,0,0
11514493,1,1,1,1
11514633,0,1,1,1
11544460,1,1,1,1
11546181,0,0,1,1
11568576,1,1,1,1
11574624,1,1,1,1
11581020,1,1,1,1
11600263,1,1,1,1
11604966,1,1,1,1
11605387,1,1,1,1
11605388,1,1,1,1
11631208,1,1,1,1
11631237,1,1,1,1
11640493,1,1,1,1
11647153,1,1,1,1
11657598,1,1,1,1
11687152,1,0,0,1
11688100,1,1,1,1
11694039,1,1,1,1
11699027,1,1,1,1
11709989,1,1,1,1
11735178,0,1,1,1
11740372,1,0,1,1
11748577,1,1,1,1
11749282,0,0,0,0
11757907,0,0,0,0
11769239,1,1,1,1
11804022,1,1,1,1
11830476,1,1,1,1
2016283469,1,1,1,1
2017124187,1,1,1,1
2017270948,1,1,1,1
2017316453,0,0,0,1
2017330388,1,1,1,1
2017358003,0,0,0,0
2018025108,0,0,0,1
2018090132,1,1,1,1
2018131642,1,1,1,1
2018203851,1,1,1,1
2018301144,1,1,1,1
2018330742,1,1,1,1
2018331839,1,1,1,1
2019013012,1,1,1,1
2019019500,1,1,1,1
2019065449,1,1,1,1
2019065498,1,0,1,1
2019066676,1,1,1,1
2019082255,0,1,1,1
2019114593,0,0,0,0
2019117088,0,0,0,0
2019340648,0,0,0,0
2019371295,1,1,1,1
2019392291,1,1,1,1
2020075000,1,1,1,1
2020142926,1,1,1,1
2020151258,1,1,1,1
2020151458,1,1,1,1
2020211134,0,0,0,0
2020226216,1,1,1,1
2020226327,1,1,1,1
2020279024,1,1,1,1
2020410285,1,1,1,1
2021042622,1,0,0,0
2021097274,0,1,1,1
2021117893,1,0,1,1
2021125691,1,1,1,0
7689416,1,1,1,1
7742919,1,1,1,1
7788262,1,1,1,1
7912718,0,1,1,1
7925496,1,1,1,1
8180725,1,1,1,1
8185400,1,1,1,1
8214213,0,1,1,1
8571871,1,1,1,1
8589262,0,0,0,0
8630844,1,1,1,1
8914284,1,1,1,1
9367763,1,1,1,1
9495955,1,1,1,1
9552548,0,0,0,0
9608942,1,1,1,1
9646587,1,1,1,1
9646601,1,0,1,1
9754206,0,0,0,0
9786084,1,1,1,1
9870797,0,1,1,1
9972127,1,1,1,1
9977773,1,1,1,1
10008209,1,1,1,1
10042836,0,0,1,1
10049477,1,1,1,1
10086261,0,0,0,1
10091358,1,0,0,0
10140981,1,1,1,1
10142485,0,0,1,0
10186252,1,1,1,1
10229111,1,1,1,1
10229672,1,1,1,1
10303978,0,1,1,1
10315536,0,0,0,0
10319365,1,1,1,1
10325201,1,1,1,1
10332513,1,1,1,1
10418024,1,1,1,1
10446126,1,1,1,1
10446147,1,1,1,1
10467274,1,0,1,1
10469665,0,0,0,0
10496754,1,1,1,1
10565989,0,1,1,1
10600408,1,1,1,1
10614031,0,1,1,1
10616257,0,0,0,1
10629176,0,1,1,1
10635941,1,1,1,1
10643131,1,1,1,1
10643600,1,1,1,1
10678406,0,1,1,1
10699695,1,1,1,1
10706867,1,1,1,1
10733240,0,1,1,1
10783398,1,1,1,1
10789606,0,0,0,0
10803646,1,1,1,1
10810725,0,1,1,1
10827214,0,0,0,0
10841251,1,0,0,0
10902191,1,1,1,1
10922788,1,1,1,1
10930272,0,1,1,1
10943309,0,0,0,0
10963493,0,0,0,0
10977783,0,1,1,1
10991373,0,0,1,0
10999434,1,0,0,1
11003703,1,1,1,1
11003865,0,1,1,1
11017123,0,0,1,0
11030726,0,0,0,1
11055514,1,1,1,1
11080607,1,1,1,1
11126826,0,1,1,1
11152031,0,0,1,0
11152123,1,1,1,1
11152785,1,1,1,1
11166035,1,0,1,1
11183169,1,1,1,1
11210775,1,1,1,1
11232266,1,1,1,1
11232793,0,1,1,1
11263534,0,0,1,1
11271984,0,1,1,1
11314922,1,0,0,1
11329933,1,1,1,1
11341698,0,1,1,1
11354490,1,1,1,1
11355155,1,1,1,1
11379189,1,0,1,1
11379747,0,0,0,1
11393575,1,1,1,1
11403800,1,1,1,1
11410684,1,1,1,1
11410685,0,1,1,1
11430434,0,1,1,1
11470279,0,1,1,1
11477142,0,1,1,1
11481559,1,1,1,1
11483494,0,1,1,1
11515041,0,1,1,1
11544881,1,1,1,1
11551695,1,1,1,1
11561326,1,1,1,1
11579841,0,1,1,1
11580968,1,1,1,1
11600260,1,1,1,1
11646007,1,1,1,1
11659085,1,0,0,0
11741965,1,1,1,1
11741996,1,1,1,1
11763849,1,1,1,1
11769017,1,1,1,1
11769312,1,1,1,1
11769531,1,1,1,1
11776007,1,0,0,0
11783474,1,0,0,1
11783813,1,1,1,1
11797780,1,1,1,1
11829474,0,1,1,1
11830463,1,1,1,1
11836680,1,1,1,1
11896902,1,1,1,1
11907885,1,0,1,0
2016164519,0,0,0,1
2016307239,1,1,1,1
2016371887,1,1,1,1
2016379252,1,0,1,0
2017018270,0,1,1,1
2017084266,1,1,1,1
2017178204,1,0,0,0
2017206328,1,1,1,1
2017243600,0,1,1,1
2017345412,1,1,1,1
2017366479,1,0,1,0
2018007404,1,1,1,1
2018018392,1,1,1,1
2018025112,1,0,0,0
2018039767,0,0,0,0
2018121784,0,0,0,0
2018150768,1,1,1,1
2018189797,0,0,0,0
2018357543,0,0,1,1
2019013017,1,0,1,0
