id,Actual,Random Forest
7664313,1,0.878
7674966,1,0.675
7732697,1,0.941
8135260,1,0.692
8180725,1,0.73
8190460,0,0.676
8239200,1,0.604
8422798,1,0.823
8428228,0,0.215
8484022,1,0.667
8527276,1,0.925
8630844,1,0.975
8630975,0,0.83
8799124,0,0.384
8805684,1,0.858
8818793,1,0.857
9263034,1,0.893
9384451,0,0.685
9484014,1,0.936
9495955,1,0.702
9576009,1,0.985
9633048,1,0.832
9646587,1,0.77
9710829,1,0.634
9792889,1,0.614
9922641,1,0.863
9972140,1,0.856
9977773,1,0.985
10042836,0,0.681
10109182,0,0.385
10134131,0,0.731
10140973,1,0.896
10140981,1,0.716
10142485,0,0.532
10171662,1,0.393
10229111,1,0.727
10276149,1,0.935
10296552,0,0.771
10303978,0,0.451
10311334,1,0.795
10418024,1,0.743
10446126,1,0.762
10484542,1,0.643
10511908,1,0.745
10546409,1,0.718
10565989,0,0.662
10586369,1,0.773
10621390,1,0.919
10628930,1,0.809
10629176,0,0.875
10643131,1,0.804
10671838,1,0.99
10678402,1,0.684
10685057,0,0.772
10692485,1,0.862
10699079,1,0.868
10719596,0,0.94
10803646,1,0.99
10849585,0,0.417
10860661,1,0.655
10891723,0,0.505
10902191,1,0.804
10930066,1,0.878
10937237,1,0.917
10943072,1,0.952
10951554,1,0.611
10963748,1,0.447
10979377,1,0.733
11037554,1,0.665
11043026,1,0.833
11049605,1,0.511
11050885,1,0.611
11055514,1,0.73
11080607,1,0.603
11095579,1,0.79
11132598,0,0.519
11144846,1,0.745
11171904,0,0.485
11232793,0,0.749
11238197,1,0.604
11252113,1,0.789
11263534,0,0.258
11276434,1,0.845
11301269,0,0.646
11302329,0,0.435
11348577,0,0.803
11354164,0,0.46
11354582,0,0.364
11354803,0,0.69
11379747,0,0.563
11430434,0,0.825
11445989,0,0.827
11544460,1,0.735
11551668,1,0.768
11580673,1,0.79
11581020,1,0.751
11600263,1,0.719
11605388,1,0.861
11631208,1,0.367
11631237,1,0.589
11640493,1,0.765
11644961,1,0.88
11645479,1,0.853
11646007,1,0.689
11657598,1,0.776
11676044,1,0.648
11676163,0,0.491
11694039,1,0.71
11699027,1,0.933
11709989,1,0.762
11710420,1,0.901
11714877,1,0.832
11741965,1,0.904
11756525,1,0.596
11769312,1,0.721
11817079,1,0.971
11837021,1,0.689
11842144,1,0.64
2016328014,1,0.666
2017060523,0,0.292
2017083933,0,0.592
2017225077,1,0.404
2017365183,1,0.764
2017366479,1,0.482
2018082388,0,0.528
2018114522,1,0.631
2018203851,1,0.745
2018268816,1,0.681
2018351899,0,0.754
2019013012,1,0.5
2019013017,1,0.411
2019019497,1,0.927
2019065449,1,0.812
2019066676,1,0.629
2019080425,0,0.37
2019082065,0,0.316
2019130900,1,0.753
2019163691,1,0.855
2019279644,1,0.764
2020019370,1,0.9
2020035216,1,0.93
2020053395,0,0.434
2020074498,0,0.524
2020092519,0,0.598
2020151458,1,0.595
2020160837,1,0.838
2020193961,1,0.769
2020211256,1,0.787
2020226327,1,0.919
2020226752,1,0.561
2020258608,0,0.523
2020279550,1,0.646
2020402497,1,0.857
2021012764,1,0.609
2021097274,0,0.653
2021125061,1,0.554
2021125691,1,0.421
US5257045A,0,0.031
US9976634B2,0,0.0
US9919923B2,0,0.01
US9718243B2,0,0.012
US9163824B2,0,0.015
US6560126B1,0,0.049
US10086944B2,0,0.023
US8978270B1,0,0.019
US10065724B2,0,0.011
US8997402B2,0,0.005
US9214704B2,0,0.03
US10020452B2,0,0.056
US6603853B1,0,0.192
US8360762B2,0,0.003
US9285063B2,0,0.003
US9109789B2,0,0.0
US9949588B1,0,0.001
US8673204B2,0,0.01
US9174890B2,0,0.038
US9131640B2,0,0.008
US9239063B2,0,0.008
US4772326A,0,0.008
US5435688A,0,0.039
US9140859B2,0,0.052
US9475746B2,0,0.01
US5297492A,0,0.022
US8770379B2,0,0.016
US5843335A,0,0.007
US9305748B2,0,0.057
US8590907B2,0,0.002
US4958461A,0,0.012
US9815358B1,0,0.003
US9708561B2,0,0.012
US8829673B2,0,0.018
US10000143B1,0,0.014
US6032049A,0,0.14
US4786534A,0,0.003
US8936691B2,0,0.02
US9278919B1,0,0.083
US10011935B2,0,0.015
US7663020B2,0,0.065
US9481529B2,0,0.004
US5714350A,0,0.093
US4684969A,0,0.019
US8653570B2,0,0.046
US10030161B2,0,0.049
US9278079B2,0,0.019
US9038707B2,0,0.001
US9204633B2,0,0.069
US9551388B2,0,0.005
US9179818B2,0,0.006
US7015252B2,0,0.02
US7719079B2,0,0.006
US9491924B2,0,0.001
US9139943B2,0,0.023
US6364369B2,0,0.0
US9243433B2,0,0.002
US10056589B2,0,0.011
US10059391B2,0,0.002
US9655418B2,0,0.012
US5611557A,0,0.018
US9481430B2,0,0.079
US9661889B1,0,0.001
US7242431B2,0,0.02
US5861711A,0,0.0
US9844174B2,0,0.052
US9658130B2,0,0.045
US9200938B2,0,0.007
US9650962B2,0,0.003
US7800229B2,0,0.004
US9281454B2,0,0.005
US9777512B2,0,0.012
US7313323B2,0,0.055
US9876914B2,0,0.07
US5475231A,0,0.007
US9180263B2,0,0.023
US10141663B1,0,0.0
US5509703A,0,0.0
US6161512A,0,0.024
US9903364B2,0,0.042
US8969966B2,0,0.007
US10020015B2,0,0.028
US6180883A,0,0.001
US9601801B2,0,0.068
US5032674A,0,0.027
US10130431B2,0,0.016
US9642217B2,0,0.112
US9796495B2,0,0.002
US6043079A,0,0.021
US4609322A,0,0.003
US9103499B2,0,0.006
US4536542A,0,0.005
US8742576B2,0,0.042
US5667263A,0,0.001
US6503984B2,0,0.014
US5058815A,0,0.001
US4859738A,0,0.026
US9556786B2,0,0.0
US9538703B2,0,0.023
