id,Actual,Random Forest (BOW),SVC (Embeddings),SciBERT,XLNet,Random Forest (BOW)_prob,SVC (Embeddings)_prob,SciBERT_prob,XLNet_prob
7660715,1,1,1,1,1,0.78,0.989145537281995,0.997833891684769,0.9996306739176632
7713127,1,1,1,1,1,0.622,0.8454003352038035,0.992557362307652,0.998311703758086
7720683,0,1,1,0,0,0.712,0.765804421487514,0.33819927454251497,0.009693565549943134
8069131,1,0,1,1,1,0.377,0.5518269089427144,0.9833738083142227,0.9616576057426874
8239200,1,1,1,1,1,0.839,0.9814733740559364,0.9984995594654508,0.9987858793623241
8265930,1,1,1,1,1,0.544,0.994692409776921,0.9986486497776677,0.9996499914520945
8374848,1,1,1,1,1,1.0,0.9649318743704399,0.9988951763984707,0.9998415343189992
8438029,1,1,1,1,1,0.832,0.9999987752823947,0.9991734829318296,0.9996603020468571
8497859,1,0,1,1,1,0.46,0.9876573501826366,0.9915663162559066,0.9942987737143075
8566102,1,1,1,1,1,0.761,0.9797185991848649,0.9986311426373569,0.9997658992208169
8606577,1,0,1,1,1,0.477,0.9912958913065351,0.9678870127079431,0.9991776291383534
8630975,0,1,1,0,1,0.612,0.978422654885315,0.3968537679339696,0.9825163699196222
8700396,1,1,1,1,1,0.863,0.996182776571092,0.9988810601795541,0.9997142672051829
8768687,1,1,1,1,1,0.741,0.9928649259552222,0.9977630475652636,0.9996208152015817
9123339,1,1,1,1,1,0.569,0.9920430903036915,0.9986100617404811,0.9997611688144151
9418385,0,0,1,1,1,0.312,0.6651662030854496,0.683377371912849,0.9604877994308291
9436953,1,1,1,1,1,0.67,0.94540293718031,0.9911129966911515,0.9996118191827017
9460707,1,1,1,1,1,0.773,0.9922533781356844,0.9937835758584599,0.9885617851986619
9507858,1,1,1,0,1,0.724,0.7117358004192934,0.06534292250380327,0.9994289735206063
9576009,1,1,1,1,1,1.0,0.894465758668976,0.9990704757924965,0.9997827727051604
9582501,1,1,1,1,1,0.708,0.9138192544473025,0.9988636291619473,0.999821013853639
9679554,1,1,1,0,1,0.549,0.9885265868219598,0.2284349244392207,0.9986573543207279
9697822,1,1,1,0,0,0.651,0.8031535438034265,0.1375201150312842,0.02882536267684413
9754206,0,0,1,0,0,0.133,0.22544596072053455,0.004703893196358442,0.0018816014866373744
9798653,1,1,1,1,1,0.843,0.9857005030698315,0.9985908672449544,0.9996862890499918
9805018,1,1,1,1,0,0.685,0.9380896453070757,0.7978711109186931,0.04905095609381924
9959868,0,1,1,1,1,0.638,0.9856948778129625,0.9945992507160027,0.9847955083199914
10008193,1,1,1,1,1,0.578,0.7237260166938141,0.9986127046545126,0.9997612853749074
10074364,1,1,1,1,1,0.725,0.8710505519922184,0.9987939781983197,0.9996438570644466
10090020,1,1,1,1,1,0.701,0.9947237800415327,0.9989841830790765,0.9997040543138745
10140973,1,1,1,1,1,0.869,0.9999913596735179,0.9989663272831812,0.9998053641718126
10169826,1,1,1,1,1,0.526,0.5927456547077882,0.9961477474476821,0.999714387997108
10249314,1,1,1,1,1,0.735,0.9771609874563192,0.9969217451236245,0.9997940416972775
10297070,1,1,1,1,1,0.575,0.9893258340191071,0.997507489811972,0.9996253206690179
10315536,0,0,0,0,0,0.002,0.0007133609261594183,0.0007551977997799871,0.0001262203673155616
10325599,0,1,1,0,1,0.548,0.9731866114376561,0.3012851668909176,0.9986936572737778
10395392,1,1,1,1,1,0.631,0.8415999899432249,0.9953523197671386,0.9994174132407354
10440431,1,1,1,1,1,0.723,0.9758898046724179,0.9866160695796049,0.9989495056112703
10469665,0,0,1,0,0,0.302,0.6341999081922868,0.0014439903340258324,0.0002781675121821007
10475438,1,1,1,1,1,0.812,0.9814530137409939,0.9974332340212738,0.9994557247470274
10503804,0,1,1,0,1,0.539,0.9768160333443716,0.45713224605415986,0.9936405435776433
10504268,1,1,1,1,1,0.616,0.9710407390013115,0.9987356334529625,0.9997602099321896
10511908,1,1,1,1,1,0.761,0.9882138634562433,0.998848891596853,0.9997193023120658
10559299,1,1,1,1,1,0.857,0.9699528649628635,0.9983793943259236,0.9998106917728417
10565989,0,1,1,1,1,0.54,0.7421450918931362,0.9029865863846676,0.6309325899879848
10580405,0,0,1,0,0,0.18,0.3411220151448035,0.0023149367394253956,0.0010697511443179852
10607598,1,1,1,1,1,0.78,0.9872329018098475,0.9956684876970501,0.9994282888368828
10614031,0,1,1,1,1,0.711,0.8851946116488965,0.9958902531108653,0.9978543973018554
10621390,1,0,1,1,1,0.495,0.9999994188925017,0.9983964551462237,0.9996886638691881
10635088,1,1,1,1,1,0.621,0.9856515933934791,0.9200767995750125,0.9767983832268354
10658074,1,1,1,1,1,0.689,0.9914886968029971,0.9988380774709258,0.999659882562821
10664718,1,1,1,1,1,0.536,0.9617103156412421,0.9954446442232132,0.9997063010583046
10678406,0,0,1,1,1,0.189,0.8462738643471316,0.9500556190143101,0.8320329914505699
10682575,1,1,1,1,1,0.558,0.9828178433266429,0.9986146982234229,0.9986083690157614
10692485,1,1,1,0,1,0.619,0.9633353675400689,0.20819058205286378,0.9837105395931095
10692602,0,1,1,1,1,0.701,0.7762509418089616,0.7958133141053241,0.8993241689876555
10769501,0,0,1,1,1,0.412,0.9883235106031751,0.9980629577821841,0.9900359721903206
10789723,1,1,1,0,0,0.543,0.7608811398690362,0.045679205347959904,0.1101449563961262
10796381,0,0,1,0,0,0.094,0.5239674194070896,0.0035368993834207284,0.0006374594057683631
10802889,0,0,1,0,1,0.171,0.9208527941651314,0.005272821110009686,0.9851078576337489
10818293,1,1,1,1,1,0.758,0.9821744244058944,0.9714644977869543,0.9990142303250108
10831976,0,1,1,0,0,0.653,0.5979329647894351,0.0036348787392361786,0.0003952196512894551
10841666,0,1,1,1,1,0.763,0.9637259781156555,0.9946575625439502,0.965585348907539
10885436,1,1,1,1,1,0.791,0.9850815649530864,0.9983321653110532,0.9992100692713765
10908950,0,0,0,0,0,0.177,0.13869086545855075,0.0015020963358620422,0.0007644271372712508
10916050,1,1,1,1,1,0.672,0.9868069391167211,0.9984955413614933,0.9934405827781282
10930066,1,1,1,1,1,0.678,0.999985194865643,0.9988471399487727,0.9996436380045289
10931999,0,1,1,1,1,0.617,0.5749595746539207,0.9525662634058976,0.9989106080940383
10937237,1,1,1,1,1,0.707,0.9422262317138904,0.769223132027721,0.7810085785059443
10945040,1,1,1,1,1,0.665,0.9888979302454497,0.9983403404892324,0.8914323484628602
10951554,1,0,1,1,0,0.489,0.9450236150289534,0.9247137903128511,0.4395219255093381
10963497,0,1,1,0,1,0.573,0.9311013321425801,0.3828608629331281,0.9971110701273124
10963812,1,1,1,1,0,0.769,0.8838133245486589,0.9852996143722473,0.04066280911157653
11024276,1,1,1,1,1,0.519,0.9433945565513007,0.9978926002641048,0.9997122650343737
11037328,1,0,1,1,1,0.464,0.6259932975024631,0.9974266149571321,0.9997000536900149
11043026,1,1,1,1,1,0.731,0.9999895784420916,0.998565980759748,0.9996895780686138
11049481,1,1,1,1,1,0.571,0.9895731084345982,0.9977625904121327,0.9990802892505004
11049605,1,1,1,1,1,0.536,0.8758291515404677,0.8937560273659124,0.9994551774199003
11069353,0,0,1,0,0,0.394,0.9910437555344709,0.007297527217954227,0.00033064836240763386
11074507,1,1,1,1,1,0.852,0.9954771012355935,0.9987416905412376,0.9994958130617922
11087528,1,0,1,1,1,0.457,0.9678491336717154,0.9965270188109391,0.9998402608911374
11087877,0,0,1,0,1,0.442,0.8330447757257252,0.013590479903830072,0.5358650557194957
11109099,0,0,1,1,0,0.29,0.8919864401818843,0.7811337454703056,0.45194962125052557
11122165,1,1,1,1,1,0.545,0.9234917665619832,0.9749930935152569,0.9974392138064869
11126826,0,1,1,1,1,0.706,0.9819125109647728,0.9614277515300765,0.9872561630966196
11127225,0,1,1,1,1,0.665,0.9974581167869981,0.994803761726652,0.9996480706444058
