#;patent_id;app_year;patent_year;Assignee_Org;Assignee 1;CPC;patent_title;patent_abstract;Finales Resultat
1;5660176;1993;1997;First Opinion Corporation;First Opinion Corporation;G16H50/20,G16H10/20,G16H10/60,G16H15/00,G16H20/70,G16H40/67,G16H70/20,G16H70/60,H04M3/493,A61B5/0002,A61B5/4094,G16H20/10,G16H40/63,H04M2201/40,H04M2203/355,Y10S128/92,Y10S128/925,Y10S706/924;Computerized medical diagnostic and treatment advice system;"A system and method for providing computerized, knowledge-based medical diagnostic and treatment advice. The medical advice is provided to the general public over a telephone network. Two new authoring languages, interactive voice response and speech recognition are used to enable expert and general practitioner knowledge to be encoded for access by the public. ""Meta"" functions for time-density analysis of a number of factors regarding the number of medical complaints per unit of time are an integral part of the system. A semantic discrepancy evaluator routine along with a mental status examination are used to detect the consciousness level of a user of the system. A re-enter feature monitors the user's changing condition over time. A symptom severity analysis helps to respond to the changing conditions. System sensitivity factors may be changed at a global level or other levels to adjust the system advice as necessary.";1
2;6516298;2000;2003;Sumitomo Electric Industries, Ltd.;Sumitomo Electric Industries, Ltd.;G10L13/08;System and method for synthesizing multiplexed speech and text at a receiving terminal;The reception terminal receives a code series from the communication path. The separator separates the code series into a speech code series and text information. The speech code series is decoded into a pitch period, a LSP coefficient, and code numerals by the synthesizer to reproduce the speech sound in the CELP system. Also, the text information is converted into pronunciation and accent information by the language analyzer and added to prosody information, such as phoneme time length and pitch pattern by the prosody generator. The LSP coefficient, and code numerals suitable for the phoneme are read from the segment database and the pitch frequency from the prosody information is inputted to the synthesizer and synthesized into speech sound.;1
3;6542867;2000;2003;Sumitomo Electric Industries, Ltd.;Sumitomo Electric Industries, Ltd.;G10L13/10,G10L13/08;Speech duration processing method and apparatus for Chinese text-to-speech system;"The duration of speech varies according to the characteristics of pronounced speech and pronouncing habit of the speaker. In the speech duration processing method and apparatus of this invention, a large amount of natural speech was analyzed, and the following was known: Speech duration of monosyllables will vary according to factors, such as phonemes, tones, phrase construction, locations in the phrases, locations in the sentence, and front and rear connected phonemes, etc. of the syllables. Through the use of these varying factors, a &#8220;speech duration parameter storage portion&#8221; for speech duration parameters is constructed. By retrieving the speech duration parameters and combining the same with the basic speech duration of a syllable during syllable speech duration calculation, the speech duration of each monosyllable in any sentence can be accurately decided. As recognized from experimental results, a text-to-speech system using the speech duration processing apparatus of this invention can synthesize speech with natural speech duration.";1
4;7643990;2003;2010;Apple Inc.;Apple Inc.;G10L15/187,G10L25/90;Global boundary-centric feature extraction and associated discontinuity metrics;Portions from time-domain speech segments are extracted. Feature vectors that represent the portions in a vector space are created. The feature vectors incorporate phase information of the portions. A distance between the feature vectors in the vector space is determined. In one aspect, the feature vectors are created by constructing a matrix W from the portions and decomposing the matrix W. In one aspect, decomposing the matrix W comprises extracting global boundary-centric features from the portions. In one aspect, the portions include at least one pitch period. In another aspect, the portions include centered pitch periods.;0
5;7657289;2004;2010;;;G10L13/033,G10L2021/0135;Synthesized voice production;A communications system for receiving and transmitting information signals. An electronic processor is adapted to receive information signals from at least one source, operatively connected to the electronic processor. An audible signal generator generates sounds related to the information signals. The source of information signals can be a telephone, cell phone, microphone, PDA, computer, printed document, Internet web site, e-mail or immediate message. The processor has a mechanism for generating an audible signal reminiscent of a celebrity voice, a cartoon voice, or a computer-generated sound.;6
6;7660715;2004;2010;Avaya Inc.;Avaya Inc.;G10L15/22,G10L15/065,G10L15/063;Transparent monitoring and intervention to improve automatic adaptation of speech models;A system and method to improve the automatic adaptation of one or more speech models in automatic speech recognition systems. After a dialog begins, for example, the dialog asks the customer to provide spoken input and it is recorded. If the speech recognizer determines it may not have correctly transcribed the verbal response, i.e., voice input, the invention uses monitoring and if necessary, intervention to guarantee that the next transcription of the verbal response is correct. The dialog asks the customer to repeat his verbal response, which is recorded and a transcription of the input is sent to a human monitor, i.e., agent or operator. If the transcription of the spoken input is correct, the human does not intervene and the transcription remains unmodified. If the transcription of the verbal response is incorrect, the human intervenes and the transcription of the misrecognized word is corrected. In both cases, the dialog asks the customer to confirm the unmodified and corrected transcription. If the customer confirms the unmodified or newly corrected transcription, the dialog continues and the customer does not hang up in frustration because most times only one misrecognition occurred. Finally, the invention uses the first and second customer recording of the misrecognized word or utterance along with the corrected or unmodified transcription to automatically adapt one or more speech models, which improves the performance of the speech recognition system.;1
7;7664313;2002;2010;AT&T Intellectual Property I, L.P.;AT&T Intellectual Property I, L.P.;G06V30/146,G06F40/106,G06F40/30,G06T17/00;Text-to scene conversion;The invention relates to a method of converting a set of words into a three-dimensional scene description, which may then be rendered into three-dimensional images. The invention may generate arbitrary scenes in response to a substantially unlimited range of input words. Scenes may be generated by combining objects, poses, facial expressions, environments, etc., so that they represent the input set of words. Poses may have generic elements so that referenced objects may be replaced by those mentioned in the input set of words. Likewise, a character may be dressed according to its role in the set of words. Various constraints for object positioning may be declared. The environment, including but not limited to place, time of day, and time of year, may be inferred from the input set of words.;5
8;7674966;2005;2010;;;G10H1/0025,G10H2210/026,G10H2210/151,G10H2240/085;System and method for realtime scoring of games and other applications;The invention provides a software framework that allows real-time computer-generated music to be used in interactive applications, particularly video games, by modularizing music-producing and music-modifying computer procedures into musically logical and programmatically convenient structures, as well as providing a communication mechanism between the application and the music-generating system which will allow the music to reflect the appropriate mood given the current application state.;5
9;7689416;2004;2010;;;G10L15/30,G10L15/07;System for transferring personalize matter from one computer to another;This invention combines methodologies that enhance voice recognition dictation. It describes features for moving speaker voice files eliminating redundant training of speech recognition dictation applications. It defines how to create synthetic voice models reducing speaker dependency. It combines accuracy and performance into a single measure called RAP Rate. Moreover, the invention describes enhancing voice recognition applications and systems by measure/adjusting hardware and software features for optimal voice recognition dictation incorporating methodical processes based on RAP Rate. Using these approaches and tools the invention includes a method for constructing a handheld transcriber that immediately translates audio speech into text with real-time display. The invention describes a method for applying RAP Rate and synthetic voice models to applications like voice mail to text. With the ability to move and translate voice models the invention describes new services that could be provided for a fee.;1
10;7693760;2002;2010;Oracle International Corporation;Oracle International Corporation;G06Q40/00,G06Q20/207,G06Q40/12,G06Q40/123;Method and apparatus for providing a tax service that is configurable for local jurisdictions;One embodiment of the present invention provides a system that implements a tax service that is configurable for local jurisdictions by an expert in the field, such as a tax professional, who may have little or no knowledge of computer programming. The system operates by receiving a request from a subscriber, wherein servicing the request involves calculating taxes for one or more local jurisdictions. Tax rules for a local jurisdiction can be fed into a tax rule base that is used by a tax engine that is configured to use these externally specified rules in performing tax computations. Next, the system uses the tax engine to calculate taxes for each local jurisdiction, and subsequently uses the results of the calculations in servicing the request.;0
